"filename", "language", "JSON", "Markdown", "Ignore", "JavaScript", "Docker", "Django txt", "YAML", "XML", "Groovy", "Properties", "Django HTML", "Dart", "Swift", "C++", "GraphQL", "comment", "blank", "total"
"c:\Projects\GrandStackProjects\Survey\.eslintrc.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Projects\GrandStackProjects\Survey\.idea\Survey.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Projects\GrandStackProjects\Survey\.idea\dbnavigator.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 458
"c:\Projects\GrandStackProjects\Survey\.idea\libraries\Dart_Packages.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 860
"c:\Projects\GrandStackProjects\Survey\.idea\libraries\Dart_SDK.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Projects\GrandStackProjects\Survey\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Projects\GrandStackProjects\Survey\.idea\runConfigurations.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Projects\GrandStackProjects\Survey\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Projects\GrandStackProjects\Survey\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\Projects\GrandStackProjects\Survey\.prettierrc.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Projects\GrandStackProjects\Survey\CODE_OF_CONDUCT.md", "Markdown", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 128
"c:\Projects\GrandStackProjects\Survey\CONTRIBUTING.md", "Markdown", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 101
"c:\Projects\GrandStackProjects\Survey\LICENSE.txt", "Django txt", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 203
"c:\Projects\GrandStackProjects\Survey\README.md", "Markdown", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 233
"c:\Projects\GrandStackProjects\Survey\api\.dockerignore", "Ignore", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Projects\GrandStackProjects\Survey\api\Dockerfile", "Docker", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Projects\GrandStackProjects\Survey\api\README.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 61
"c:\Projects\GrandStackProjects\Survey\api\auth0-howto.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Projects\GrandStackProjects\Survey\api\babel.config.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Projects\GrandStackProjects\Survey\api\package-lock.json", "JSON", 17724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17725
"c:\Projects\GrandStackProjects\Survey\api\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Projects\GrandStackProjects\Survey\api\src\functions\graphql\graphql.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 28
"c:\Projects\GrandStackProjects\Survey\api\src\functions\graphql\package-lock.json", "JSON", 1545, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1546
"c:\Projects\GrandStackProjects\Survey\api\src\functions\graphql\package.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Projects\GrandStackProjects\Survey\api\src\graphql-schema.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"c:\Projects\GrandStackProjects\Survey\api\src\index.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 10, 65
"c:\Projects\GrandStackProjects\Survey\api\src\schema.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 2, 9, 51
